,Date,AAPL,AMD,AMZN,GOOG,IBM,INTC,LCID,META,MSFT,TSLA
235,2023-06-06,0,75257500,45695200,19450100,3298000,42295300,43033000,19419000,0,146911600
236,2023-06-07,0,0,0,0,5772000,39098000,0,0,0,0
237,2023-06-08,50214900,65246900,62159300,24815000,0,35199000,0,20899400,23277700,164489700
238,2023-06-09,0,75051600,0,20304500,3981500,0,0,16938500,22514900,0
239,2023-06-12,54274900,85394700,51338000,22255700,4494500,59881600,0,15442500,24260300,150337900
240,2023-06-13,54929100,0,0,0,3927300,51990000,64473500,0,0,162384300
241,2023-06-14,57462900,95888100,0,24659600,0,74404300,0,19175100,26003800,0
242,2023-06-15,65433200,0,60458500,24517100,3812600,67676300,41955500,25973500,38899100,160171200
243,2023-06-16,0,0,0,0,0,110188500,0,0,0,167563700
244,2023-06-20,49799100,0,56930100,22698000,0,0,0,20701600,0,165611200
245,2023-06-21,0,0,0,0,0,0,0,0,0,0
246,2023-06-22,51245300,0,90354600,20781900,0,45740300,0,17563100,23556800,166875900
247,2023-06-23,53079300,73545600,71855200,29542900,0,46199200,0,50988400,23084700,0
248,2023-06-26,0,0,0,0,4845600,38952400,0,0,0,0
249,2023-06-27,50730800,59381600,46801000,27221700,3219900,33038900,74181400,26108300,24354100,164968200
250,2023-06-28,51133200,67295100,51695900,19731800,0,0,68049600,16599700,20011000,159148200
251,2023-06-29,32866759,0,0,0,2559865,0,61880326,0,0,0
